epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,121.488,1.39562,0.86349,0.99365,0.46221,0.000237394,0.000237394,0.000237394
2,226.147,0.46315,0.9346,1,0.18989,0.00042833,0.00042833,0.00042833
3,338.063,0.31683,0.95937,1,0.12995,0.000572142,0.000572142,0.000572142
4,445.805,0.24253,0.9619,1,0.11617,0.000501942,0.000501942,0.000501942
5,548.611,0.19892,0.97206,1,0.09214,0.000431256,0.000431256,0.000431256
6,657.246,0.16983,0.9746,1,0.0856,0.00036057,0.00036057,0.00036057
7,767.029,0.14366,0.9746,1,0.06642,0.000289884,0.000289884,0.000289884
8,877.209,0.12855,0.97714,1,0.05932,0.000219198,0.000219198,0.000219198
9,985.754,0.11982,0.98095,1,0.05413,0.000148512,0.000148512,0.000148512
10,1093.43,0.10511,0.98095,1,0.05496,7.7826e-05,7.7826e-05,7.7826e-05
